Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
ellenatfims,CA,2923,1638,129.100.38.88,ellen.fims.uwo.ca,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-04-08,UWO-AS - The University of Western Ontario- CA,823,11200,None
ELOO01,DE,38,27,217.228.187.74,pD9E4BB4A.dip0.t-ipconnect.de,443,80,0,0,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2017-04-24,DTAG Internet service provider operations- DE,3320,201,None
ElPro,US,1303,102,69.221.232.26,69-221-232-26.lightspeed.knvltn.sbcglobal.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Darwin,0,0,2019-09-25,ATT-INTERNET4 - AT&T Services- Inc.- US,7018,8940,None
else,DE,1783,216,91.37.145.146,p5B259192.dip0.t-ipconnect.de,9001,None,0,0,1,0,0,0,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-07-07,DTAG Internet service provider operations- DE,3320,5600,[2001:470:1f0b:1173:dead:beef:feed:beef]:9001
ElToro,AT,0,100,85.127.238.0,85-127-238-0.dsl.dynamic.surfer.at,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.9.16 on Linux,0,0,2017-12-26,LGI-UPC formerly known as UPC Broadband Holding B.V.- AT,6830,9,None
eludemailrelay,NL,6460,549,109.236.86.109,exit4.elude.in,110,None,0,0,1,0,0,1,1,1,0,Tor 0.3.5.8 on Linux,0,0,2017-12-05,WORLDSTREAM- NL,49981,15200,None
eludemailrelay,NL,6322,549,93.190.142.146,exit5.elude.in,110,None,0,0,1,0,0,1,1,1,0,Tor 0.3.5.8 on Linux,0,0,2017-12-05,WORLDSTREAM- NL,49981,14000,None
EmeraldOnionExit,US,29196,1131,23.129.64.100,23.129.64.100,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2019-04-07,EMERALD-ONION - Emerald Onion- US,396507,41000,[2620:18c::100]:443
EmiliaMaja,US,0,18,24.54.155.8,24-54-155-8-dynamic.midco.net,9001,None,0,0,0,0,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-03-16,MIDCO-NET - Midcontinent Communications- US,11232,25,None
emmentaler,CH,1034,12,179.43.169.14,179.43.169.14,443,None,0,0,1,0,0,1,1,1,0,Tor 0.4.1.6 on Linux,0,0,2015-06-29,PLI-AS- CH,51852,2000,None
Empire12TorRelay,US,268,1495,173.56.36.10,pool-173-56-36-10.nycmny.fios.verizon.net,9031,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2019-05-16,UUNET - MCI Communications Services- Inc. d/b/a Verizon Business- US,701,990,None
emubeard,GB,0,2,91.240.229.195,emubeard.chinafight.com,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.3.5.8 on Linux,0,0,2014-04-09,AS20712 Andrews & Arnold Ltd- GB,20712,500,[2001:67c:2a4c:1337::195]:9001
EncryptAllTheThings,IT,0,347,93.40.7.94,93-40-7-94.ip36.fastwebnet.it,443,None,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-01-11,FASTWEB- IT,12874,2090,None
Endgame,US,10017,1062,199.115.114.70,hosted-By.Eqservers.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-01-04,LEASEWEB-USA-WDC-01 - Leaseweb USA- Inc.- US,30633,29000,None
endif,GR,30,4360,95.179.214.37,95.179.214.37.vultr.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2018-12-03,AS-CHOOPA - Choopa- LLC- US,20473,78,None
energy,CH,9683,2001,179.43.134.155,179.43.134.155,9001,8080,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-09-19,PLI-AS- CH,51852,23700,None
